Song Title,Streams,Daily
You’re Not Sorry (Taylor’s Version),"86,923,632","41,016"
The Other Side Of The Door (Taylor’s Version),"85,457,083","41,438"
The Moment I Knew (Taylor's Version),"84,732,848","37,137"
Carolina - From The Motion Picture “Where The Crawdads Sing”,"84,117,533","39,546"
The Manuscript,"83,988,321","98,806"
Starlight (Taylor's Version),"83,629,062","35,440"
Don’t You (Taylor’s Version) (From The Vault),"83,506,072","36,150"
If This Was A Movie (Taylor’s Version),"81,820,398","41,138"
* Both of Us (feat. Taylor Swift),"80,320,459","14,665"
* The Alcott (feat. Taylor Swift),"79,051,282","59,287"
Back To December - Acoustic,"78,630,870","8,603"
Breathe (feat. Colbie Caillat) (Taylor’s Version),"78,271,254","33,098"
Cornelia Street - Live From Paris,"75,637,476","22,286"
September - Recorded at The Tracking Room Nashville,"74,715,285","20,632"
Ours,"74,505,699","8,070"
The Way I Loved You,"74,182,521","11,788"
Never Grow Up (Taylor's Version),"73,746,090","50,971"
Robin,"73,314,342","83,251"
* Gasoline (feat. Taylor Swift),"71,780,226","48,721"
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),"71,722,476","49,775"
Breathe,"71,066,462","8,131"
Ours (Taylor’s Version),"70,802,839","45,343"
Untouchable (Taylor’s Version),"70,373,407","45,190"
We Were Happy (Taylor’s Version) (From The Vault),"69,349,856","26,906"
Girl At Home (Taylor's Version),"69,343,330","29,563"
The Last Time,"68,971,248","6,918"
Jump Then Fall (Taylor’s Version),"67,541,658","33,002"
Tell Me Why (Taylor’s Version),"67,353,420","28,586"
Bye Bye Baby (Taylor’s Version) (From The Vault),"64,991,593","25,724"
Today Was A Fairytale (Taylor’s Version),"64,062,334","33,312"
I Almost Do,"63,875,517","5,175"
State Of Grace,"63,281,413","6,372"
State Of Grace (Acoustic Version) (Taylor's Version),"63,112,624","28,409"
The Best Day (Taylor’s Version),"62,602,393","29,414"
Forever & Always (Piano Version) (Taylor’s Version),"61,483,657","27,969"
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,"60,729,702","29,828"
I'm Only Me When I'm With You,"59,830,303","22,654"
Stay Stay Stay,"59,368,017","5,589"
Innocent (Taylor's Version),"58,459,344","34,132"
Treacherous,"56,836,123","5,302"
Forever & Always,"56,123,822","7,232"
Holy Ground,"55,998,540","5,234"
exile (feat. Bon Iver) - the long pond studio sessions,"55,181,422","25,082"
Mary's Song (Oh My My My),"55,070,734","23,896"
Mine - POP Mix,"53,830,086","5,136"
Innocent,"53,731,347","4,938"
Change (Taylor’s Version),"52,667,563","23,499"
Ronan (Taylor's Version),"51,795,301","21,123"
Hey Stephen,"51,640,686","6,849"
the lakes - original version,"51,400,504","22,598"
Eyes Open,"51,112,415","5,001"
Cold As You,"50,964,590","20,226"
Superman (Taylor’s Version),"49,795,148","28,980"
A Place in this World,"49,599,072","20,542"
The Story Of Us,"48,371,184","7,271"
You're Not Sorry,"48,131,491","5,513"
Come In With The Rain (Taylor’s Version),"48,103,199","21,253"
Delicate - Seeb Remix,"47,748,497","16,031"
Eyes Open (Taylor's Version),"45,999,040","25,721"
If This Was A Movie,"45,798,661","5,839"
Delicate - Recorded at The Tracking Room Nashville,"45,260,353","16,083"
The Lucky One,"45,205,440","3,949"
Starlight,"45,022,234","4,357"
Come Back...Be Here,"43,922,214","4,338"
cardigan - cabin in candlelight version,"43,791,020","10,910"
Superstar (Taylor’s Version),"43,254,188","19,701"
The Best Day,"42,320,518","7,819"
Death By A Thousand Cuts - Live From Paris,"42,073,319","11,260"
Stay Beautiful,"41,190,100","15,836"
willow - dancing witch version (Elvira remix),"40,985,606","12,865"
Sad Beautiful Tragic,"40,967,978","3,636"
Invisible,"40,883,772","14,801"
Teardrops on My Guitar - Pop Version,"40,205,231","18,422"
Tied Together with a Smile,"39,678,226","15,714"
Love Story (Taylor's Version) - Elvira Remix,"37,833,227","7,872"
Last Christmas,"37,237,611","3,342"
The Outside,"36,289,501","15,020"
Anti-Hero - Kungs Remix,"34,558,811","22,122"
Anti-Hero - Acoustic Version,"34,252,944","15,378"
Today Was A Fairytale - US Version,"33,139,371","4,931"
Tell Me Why,"32,835,946","3,899"
Cruel Summer - LP Giobbi Remix,"32,738,576","48,572"
The Moment I Knew,"32,656,884","1,985"
Cruel Summer - Live from TS | The Eras Tour,"31,651,083","19,611"
A Perfectly Good Heart,"30,581,732","11,925"
Lavender Haze - Acoustic Version,"30,308,692","16,346"
Daylight - Live From Paris,"29,818,138","14,169"
Fortnight (feat. Post Malone) - BLOND:ISH Remix,"28,866,036","51,035"
Change,"28,318,895","3,714"
Forever & Always - Piano Version,"28,192,941","2,747"
cardigan - the long pond studio sessions,"27,441,760","14,117"
Lover - First Dance Remix,"27,266,177","9,652"
...Ready For It? - BloodPop® Remix,"27,145,005","5,981"
Lavender Haze - Felix Jaehn Remix,"27,047,426","8,044"
my tears ricochet - the long pond studio sessions,"26,640,133","14,283"
Jump Then Fall,"26,601,234","3,273"
Superman,"26,522,565","2,474"
Haunted - Acoustic Version,"25,856,593","4,316"
State Of Grace - Acoustic,"24,478,686","1,956"
august - the long pond studio sessions,"24,388,164","10,670"
this is me trying - the long pond studio sessions,"24,170,645","13,325"
Untouchable,"24,022,714","3,767"
Anti-Hero (feat. Bleachers),"23,983,008","11,290"
Girl At Home,"23,618,373","1,758"
The Man - Live From Paris,"22,562,988","4,642"
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),"22,506,737","7,714"
"Sweeter Than Fiction - From ""One Chance"" Soundtrack","22,133,734","11,195"
the 1 - the long pond studio sessions,"21,287,372","9,277"
mirrorball - the long pond studio sessions,"19,905,920","9,698"
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","19,047,122","4,431"
Anti-Hero - ILLENIUM Remix,"18,603,698","7,433"
illicit affairs - the long pond studio sessions,"18,456,491","8,608"
the lakes - the long pond studio sessions,"18,183,774","9,667"
Red - Original Demo Recording,"18,082,575","1,291"
Come In With The Rain,"17,603,325","2,283"
willow - lonely witch version,"17,555,929","7,016"
You Need To Calm Down - Clean Bandit Remix,"17,349,852","3,552"
Treacherous - Original Demo Recording,"16,988,506","1,129"
* Renegade - Pop Version,"16,737,096","15,841"
* Birch,"16,284,125","9,106"
the last great american dynasty - the long pond studio sessions,"16,105,258","7,169"
Lavender Haze - Snakehips Remix,"15,863,425","11,014"
The Other Side Of The Door,"15,782,758","2,184"
seven - the long pond studio sessions,"15,690,739","7,210"
All Too Well (10 Minute Version) (The Short Film),"15,168,989","5,554"
invisible string - the long pond studio sessions,"15,020,504","7,118"
Fortnight (feat. Post Malone) - Acoustic Version,"14,923,187","23,413"
willow - 90's trend remix,"14,848,171","4,562"
betty - the long pond studio sessions,"14,773,629","6,471"
Santa Baby,"14,539,705","1,060"
SuperStar,"14,472,251","1,754"
hoax - the long pond studio sessions,"14,231,651","6,775"
Teardrops On My Guitar - International Mix,"13,923,275","1,541"
Wildest Dreams - R3hab Remix,"13,534,530","8,874"
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,"13,443,953","3,497"
Drops Of Jupiter - Live/2011,"13,332,372","3,979"
The Archer - Live From Paris,"13,206,702","6,742"
Christmas Tree Farm - Old Timey Version,"12,771,956",956
peace - the long pond studio sessions,"12,763,487","6,205"
* Should've Said No - The 3D Concert Experience,"12,680,572","2,930"
mad woman - the long pond studio sessions,"12,614,846","6,097"
Lover - Live From Paris,"12,239,043","5,956"
epiphany - the long pond studio sessions,"11,681,154","5,701"
"Carolina - ""Where The Crawdads Sing"" - Video Edition","10,834,322","3,411"
Love Story - Digital Dog Remix,"10,658,541","2,368"
betty - Live from the 2020 Academy of Country Music Awards,"10,632,631","2,466"
Christmases When You Were Mine,"9,760,430","2,068"
